535.62214,629.70952,542.87627,568.91127,512.31578,569.01913,621.06701,595.87377,519.13410,688.24439,620.23326,660.48393,647.11362,560.10793,483.29718,nan,673.50935,nan,648.96262,563.25558
623.58655,490.56481,670.02451,597.61988,653.14955,611.39170,647.88383,593.88408,644.60139,509.42564,535.15736,nan,597.64930,586.27475,589.22326,630.10351,nan,630.61846,545.05249,575.56488
659.09710,664.27515,534.17074,650.31808,537.64906,643.98139,486.07128,532.97336,569.46166,590.01084,685.41687,654.23995,694.52807,672.39647,583.02819,584.02039,664.13830,602.42229,590.58038,519.88784
593.61239,432.54022,572.63295,541.20658,641.55446,571.27966,580.25691,680.82633,537.05594,618.99953,486.28398,605.38375,624.61594,651.59226,546.07901,619.17942,619.08925,598.84610,609.00098,627.81206
623.87283,540.23935,528.24831,750.35882,715.18754,516.49837,627.01306,637.64622,nan,608.42373,544.38768,589.05478,570.53249,608.06239,583.89772,592.09946,nan,673.83349,529.13381,572.40419
552.55200,673.42333,596.43793,nan,571.34515,601.56000,519.07821,678.15213,578.24327,510.89061,564.45232,461.70552,598.09097,606.74926,617.28469,689.88649,581.94143,648.44736,618.73432,588.40070
475.39188,656.85007,569.76156,601.07735,523.77235,616.97973,606.48185,601.76506,591.91241,662.95310,657.97325,643.55501,799.26473,563.98648,577.22895,539.11178,626.15917,558.75076,438.09830,527.19971
604.33511,660.58724,506.58351,563.25347,591.63889,556.28775,631.86983,600.24005,619.27595,556.48710,692.19218,599.97750,677.61298,573.66014,635.40237,559.23697,542.94544,557.73898,597.24800,586.87599
692.35242,531.07775,534.57970,702.01129,636.52702,487.11535,629.83615,614.23996,471.33336,577.82625,598.95270,643.88415,657.26974,605.74481,nan,591.22360,548.55019,543.94909,632.55872,482.50985
nan,533.60562,578.44655,630.32291,673.07645,483.55914,551.62931,602.94370,564.23482,651.69739,474.81657,621.70810,nan,602.94482,666.13420,526.22554,666.51701,557.82478,643.53303,580.54775
648.86059,646.82820,512.15679,590.73053,594.45406,585.72748,554.66023,711.08627,612.54580,nan,565.85108,536.29219,607.93487,566.20580,743.40876,614.72537,669.15595,586.54585,580.43632,598.14531
621.34304,650.97521,592.67076,559.14891,535.92741,595.39924,634.37776,nan,598.93095,563.99167,608.80592,634.30829,597.79094,606.74211,590.96974,654.92996,573.70798,611.13214,623.66568,643.53135
689.75309,640.52723,635.95279,511.78577,636.38424,nan,nan,538.82881,587.12077,661.27489,631.48503,571.37255,597.84059,662.22234,640.35718,745.73262,nan,621.21403,636.88358,579.06095
541.33362,610.31743,629.43366,516.28302,568.65861,577.84465,615.93854,584.37204,626.70580,605.88673,663.61965,497.32994,699.42748,685.06044,603.01903,639.01939,636.39290,555.76262,609.87990,646.69045
618.58901,663.07925,605.69977,604.84506,553.93178,578.12772,572.41694,702.32901,614.43033,540.03441,623.91590,588.47978,416.77414,628.79114,nan,634.70787,542.32418,512.50053,629.66050,510.34837
573.19805,612.26264,636.73395,644.69307,597.82312,550.05628,715.42893,563.64112,708.21534,572.84850,669.67714,nan,537.26795,621.31707,645.32352,642.05893,588.06375,618.11760,576.31862,529.69120
659.04073,566.41911,682.78549,636.14705,546.44120,590.32810,582.81691,547.74674,630.08578,571.28316,697.90149,651.65347,547.18866,598.85997,586.39439,506.12953,655.87534,656.98853,655.53007,572.58073
